Components	Notes	Question	Answer type	Choice1	Choice2	Choice3	Choice4	Answer	qID	DB_id
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the indefinite integral } \int x^3 (x^4 + 1)^{1/2} \, dx. \)	multi	\(\displaystyle x^3(x^4 + 1)^{1/2} + C \)	\(\displaystyle (x^4 + 1)^{1/2} + C \)	\(\displaystyle (1/6) (x^4 + 1)^{3/2} + C \)	\(\displaystyle (1/8)(x^4 + 1)^{1/2} + C \)	3	q0131	31
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate } \int (1 + \sin x)^{1/2} \cos x \, dx. \)	multi	\(\displaystyle (2/3) (1 + \sin x)^{3/2} + C \)	\(\displaystyle (1 + \sin x)^{3/2} + C \)	\(\displaystyle (-3/2) (1 + \sin x)^{3/2} + C \)	\(\displaystyle \cos x (1 + \sin x)^{3/2} + C \)	1	q0132	32
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate } \int x(x + 1)^7 \, dx. \)	multi	\(\displaystyle x^9/9 - x^8/8 + C \)	\(\displaystyle x^9/9 + C \)	\(\displaystyle (x+1)^9 - (x+1)^8 + C \)	\(\displaystyle (x+1)^9/9 - (x+1)^8/8 + C \)	4	q0133	33
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the definite integral } \int_0^1 x(x^2 + 1)^{5/2} \, dx. \)	multi	\(\displaystyle (8/7)2^{1/2} + 1 \)	\(\displaystyle (1/7)[8(2)^{1/2} - 1] \)	\(\displaystyle 4(2)^{1/2} - 1 \)	\(\displaystyle 8(2)^{1/2} + 1/7 \)	2	q0134	34
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the definite integral } \int_{-\pi/2}^{\pi/2} \sin^2 x \cos x \, dx. \)	multi	\(\displaystyle 2/3 \)	\(\displaystyle 0 \)	\(\displaystyle 1/3 \)	\(\displaystyle 1 \)	1	q0135	35
10,31,142		\(\displaystyle \frac{d}{dx} [\cos(x^3)] = -3x^2\sin(3x^2) \)	multi	True	False in general			2	q4314	36
144		\(\displaystyle \frac{d}{dx} [\ln(5^{1/2})] = 0 \)	multi	True	False in general			1	q4315	37
5,38		\(\displaystyle \int e^x \, dx = e^x \)	multi	True	False in general			2	q4316	38
10,31		\(\displaystyle \frac{d}{dx} [ \cos(2x)] = 2\sin(2x) \)	multi	True	False in general			2	q4323	39
143		\(\displaystyle \int \frac{1}{4x}\,dx = \frac{1}{4} \ln |x| + C \)	multi	True	False in general			1	q4324	40
142	<-- kinda, more like knowing that 142 doesn't apply in general	\(\displaystyle \frac{d}{dx} [3^{-x}] = -x3^{-x-1} \)	multi	True	False in general			2	q4326	41
10,30		\(\displaystyle \frac{d}{dx}[\sin(2x)] = \frac{1}{2} \cos(2x) \)	multi	True	False in general			2	q4327	42
143	component for "simplify early"??	\(\displaystyle \int \frac{x^4}{x^3} \, dx = \frac{x^2}{2} + C \)	multi	True	False in general			1	q4329	43
108,142		\(\displaystyle \frac{d}{dx} \left [ \frac{x}{2x+1} \right ] = \frac{1}{2} \)	multi	True	False in general			1	q4330	44
10,31,142		\(\displaystyle \frac{d}{dx} [\cos(2x)] = 2\sin(2x) \)	multi	True	False in general			2	q4334	45
10,31,142		\(\displaystyle \frac{d}{dx} [\cos(x^3)] = -3x^2\sin(x^3) \)	multi	True	False in general			1	q4340	46
143		\(\displaystyle \int x^{1/2}\,dx = \frac{1}{2x^{1/2}} + C \)	multi	True	False in general			2	q4341	47
10,30,142		\(\displaystyle \frac{d}{dx} [\sin(5x^2)] = \cos(5x^2) + 10x \)	multi	True	False in general			2	q4344	48
143		\(\displaystyle \int 3\,dx = 3x \)	multi	True	False in general			2	q4345	49
144		\(\displaystyle \frac{d}{dx} [ \sin(\pi/2) ] = \pi/2 \cos(\pi/2) \)	multi	True	False in general			2	q4349	50
10,31,142		\(\displaystyle \frac{d}{dx}[\cos(x^3)] = -\sin(3x^2) \)	multi	True	False in general			2	q4352	51
10,38,142		\(\displaystyle \frac{d}{dx} e^{-3x} = -3e^{-3x} \)	multi	True	False in general			1	q4353	52
142		\(\displaystyle \int \ln |x| \, dx = \frac{1}{x} + C \)	multi	True	False in general			2	q4355	53
143		\(\displaystyle \int \frac{1}{2x}\,dx = \frac{1}{2} + C \)	multi	True	False in general			2	q4357	54
43,142		Let \(f(x)=x^3-3x^2/2-6x+3/2\). Find the critical points of \(f(x)\).	check	\(\displaystyle -2 \)	\(\displaystyle -1 \)	\(\displaystyle 1 \)	\(\displaystyle 2 \)	24	q4412	55
48,142		Let \(f(x)=x^3-3x^2/2-6x+3/2\). \(\displaystyle \text{Find the location of relative maxima of } f(x). \)	check	\(\displaystyle (-2, -1/2) \)	\(\displaystyle (-1, 5) \)	\(\displaystyle (2, 17/2) \)	\(\displaystyle \text{There are none.} \)	2	q4413	56
49,142		Let \(f(x)=x^3-3x^2/2-6x+3/2\). \(\displaystyle \text{Find the location of relative minima of } f(x). \)	check	\(\displaystyle (-2, -1/2) \)	\(\displaystyle (1, -5) \)	\(\displaystyle (2, -17/2) \)	\(\displaystyle \text{There are none.} \)	3	q4414	57
48,52		Let \(f(x)=x^3-3x^2/2-6x+3/2\). \(\displaystyle \text{What is the maximum value of } f(x) \text{ on the interval } [-3, 1]? \)	multi	\(\displaystyle -5 \)	\(\displaystyle -1 \)	\(\displaystyle -1/2 \)	\(\displaystyle 5 \)	4	q4415	58
49,52		Let \(f(x)=x^3-3x^2/2-6x+3/2\). \(\displaystyle \text{What is the minimum value of } f(x) \text{ on the interval } [-3, 1]? \)	multi	\(\displaystyle -21 \)	\(\displaystyle -17/2 \)	\(\displaystyle -5 \)	\(\displaystyle -3 \)	1	q4416	59
43		Let \(f(x)=x^4/4+x^3+3x^2/2+x+1/4\). \(\displaystyle \text{Find all critical points of } f(x). \)	check	\(\displaystyle -1 \)	\(\displaystyle 0 \)	\(\displaystyle 1 \)	\(\displaystyle 2 \)	1	q4422	60
48		Let \(f(x)=x^4/4+x^3+3x^2/2+x+1/4\). \(\displaystyle \text{Find the location of relative maxima of } f(x). \)	check	\(\displaystyle (-1, 0) \)	\(\displaystyle (0, 1/4) \)	\(\displaystyle (1, 4) \)	\(\displaystyle \text{There are none.} \)	4	q4423	61
49		Let \(f(x)=x^4/4+x^3+3x^2/2+x+1/4\). \(\displaystyle \text{Find the location of relative minima of } f(x). \)	check	\(\displaystyle (-1, 0) \)	\(\displaystyle (0, 1/4) \)	\(\displaystyle (1, 4) \)	\(\displaystyle \text{There are none.} \)	1	q4424	62
48,52		Let \(f(x)=x^4/4+x^3+3x^2/2+x+1/4\). \(\displaystyle \text{What is the maximum value of } f(x) \text{ on the interval } [-3, 1]? \)	multi	\(\displaystyle 0 \)	\(\displaystyle 1/4 \)	\(\displaystyle 1 \)	\(\displaystyle 4 \)	4	q4425	63
49,52		Let \(f(x)=x^4/4+x^3+3x^2/2+x+1/4\). \(\displaystyle \text{What is the minimum value of } f(x) \text{ on the interval } [-3, 1]? \)	multi	\(\displaystyle 0 \)	\(\displaystyle 1/4 \)	\(\displaystyle 1 \)	\(\displaystyle 4 \)	1	q4426	64
43		Let \(f(x)=4x^3/3-x+1/3\). \(\displaystyle \text{Find the critical points of } f(x). \)	check	\(\displaystyle -1/2 \)	\(\displaystyle 0 \)	\(\displaystyle 1/2 \)	\(\displaystyle 3/2 \)	13	q4432	65
48		Let \(f(x)=4x^3/3-x+1/3\). \(\displaystyle \text{Find the location of relative maxima of } f(x). \)	check	\(\displaystyle (-1/2, 2/3) \)	\(\displaystyle (0, 1/3) \)	\(\displaystyle (1/2, 0) \)	\(\displaystyle \text{There are none.} \)	1	q4433	66
49		Let \(f(x)=4x^3/3-x+1/3\). \(\displaystyle \text{Find the location of relative minima of } f(x). \)	check	\(\displaystyle (-1/2, 2/3) \)	\(\displaystyle (0, 1/3) \)	\(\displaystyle (1/2, 0) \)	\(\displaystyle \text{There are none.} \)	3	q4434	67
48,52		Let \(f(x)=4x^3/3-x+1/3\). \(\displaystyle \text{What is the maximum value of } f(x) \text{ on the interval } [-3, 1]? \)	multi	\(\displaystyle 0 \)	\(\displaystyle 1/3 \)	\(\displaystyle 2/3 \)	\(\displaystyle 1 \)	3	q4435	68
49,52		Let \(f(x)=4x^3/3-x+1/3\). \(\displaystyle \text{What is the minimum value of } f(x) \text{ on the interval } [-3, 1]? \)	multi	\(\displaystyle 0 \)	\(\displaystyle -98/3 \)	\(\displaystyle 2/3 \)	\(\displaystyle 1 \)	2	q4436	69
113		Let \(f(x)=x^3+2x^2-4x+4\). \(\displaystyle \text{Where is } f(x) \text{ concave up?} \)	check	\(\displaystyle x < -2 \)	\(\displaystyle x > -2 \)	\(\displaystyle x > -2/3 \)	\(\displaystyle x < -2/3 \)	3	q4511	70
120		Let \(f(x)=x^3+2x^2-4x+4\). \(\displaystyle \text{Find all inflection points of } f(x). \)	check	\(\displaystyle (-2, 13) \)	\(\displaystyle (-2/3, 223/27) \)	\(\displaystyle (0, 5) \)	\(\displaystyle (2/3, 95/27) \)	2	q4512	71
43,121		Let \(f(x)=x^3+2x^2-4x+4\). \(\displaystyle \text{At what value(s) of } x \text{ does } f(x) \text{ have an relative maximum?} \)	check	\(\displaystyle x = -2 \)	\(\displaystyle x = -2/3 \)	\(\displaystyle x = 2/3 \)	\(\displaystyle x = -3 \)	1	q4513	72
43,121		Let \(f(x)=x^3+2x^2-4x+4\). \(\displaystyle \text{At what value(s) of } x \text{ does } f(x) \text{ have a relative minimum?} \)	check	\(\displaystyle x = -2 \)	\(\displaystyle x = -2/3 \)	\(\displaystyle x = 2/3 \)	\(\displaystyle x = -3 \)	3	q4514	73
	requires doing the above problems... maybe these are better for a lesson-embedded quiz? also requires images	Let \(f(x)=x^3+2x^2-4x+4\). \(\displaystyle \text{Qualitatively, which plot below could be the graph of } y = f(x)? \)	multi	\(\displaystyle \text{A} \)	\(\displaystyle \text{B} \)	\(\displaystyle \text{C} \)	\(\displaystyle \text{D} \)	3	q4515	74
114		Let \(f(x)=2+9x-x^3\). \(\displaystyle \text{Where is } f(x) \text{ concave down?} \)	check	\(\displaystyle x < 3^{1/2} \)	\(\displaystyle x < 0 \)	\(\displaystyle x > 0 \)	\(\displaystyle x > -3^{1/2} \)	3	q4521	75
120		Let \(f(x)=2+9x-x^3\). \(\displaystyle \text{Find all inflection points of } f(x). \)	check	\(\displaystyle (1, 10) \)	\(\displaystyle (-3^{1/2}, 2 - 6(3)^{1/2}) \)	\(\displaystyle (3^{1/2}, 2 + 6(3)^{1/2}) \)	\(\displaystyle (0, 2) \)	4	q4522	76
43,121		Let \(f(x)=2+9x-x^3\). \(\displaystyle \text{At what value(s) of } f(x) \text{ does } f(x) \text{ have a relative maximum?} \)	check	\(\displaystyle 3^{1/2} \)	\(\displaystyle -3^{1/2} \)	\(\displaystyle 0 \)	\(\displaystyle 1 \)	1	q4523	77
43,121		Let \(f(x)=2+9x-x^3\). \(\displaystyle \text{At what value(s) of } x \text{ does } f(x) \text{ have a relative minimum?} \)	check	\(\displaystyle 3^{1/2} \)	\(\displaystyle -3^{1/2} \)	\(\displaystyle 0 \)	\(\displaystyle 1 \)	2	q4524	78
10,30,142		\(\displaystyle \frac{d}{dx} [\sin(5x^2)] = 10x \cos(5x^2) \)	multi	TRUE	False in general			1	q4539	79
108,142		\(\displaystyle \frac{d}{dx} \left [ \frac{x}{x^2-2} \right ] = \frac{x^2+2}{(x^2-2)^2} \)	multi	TRUE	False in general			2	q4540	80
10,31,142		\(\displaystyle \frac{d}{dx} [\cos(\pi x)] = -\pi \sin(\pi x) \)	multi	TRUE	False in general			1	q4544	81
143		\(\displaystyle \int x^5\,dx = 5x^4 + C \)	multi	TRUE	False in general			2	q4545	82
144		\(\displaystyle \frac{d}{dx} [3^{-4}] = 0 \)	multi	TRUE	False in general			1	q4547	83
41		Let \(f(x)=x^3-3x^2/2-6x+3/2\). \(\displaystyle \text{On which intervals is } f(x) \text{ increasing?} \)	check	\(\displaystyle (-\infty, -1) \)	\(\displaystyle (-2, 1) \)	\(\displaystyle (-1, 2) \)	\(\displaystyle (2, \infty) \)	14	q4548	84
42		Let \(f(x)=x^4/4+x^3+3x^2/2+x+1/4\). \(\displaystyle \text{On which intervals is } f(x) \text{ decreasing?} \)	check	\(\displaystyle (-\infty, -1) \)	\(\displaystyle (-1, \infty) \)	\(\displaystyle (1, \infty) \)	\(\displaystyle (-1, 1) \)	1	q4549	85
42		Let \(f(x)=4x^3/3-x+1/3\). \(\displaystyle \text{On which intervals is } f(x) \text{ decreasing?} \)	check	\(\displaystyle (-\infty, -1/2) \)	\(\displaystyle (-1/2, 1/2) \)	\(\displaystyle (-1/2, \infty) \)	\(\displaystyle (1/2, \infty) \)	2	q4550	86
10,142		Use the chain rule to differentiate the function \(\displaystyle (x - x^3)^3 \)	multi	\(\displaystyle \frac{(x - x^3)^4(3x^2 - 1)}{3} \)	\(\displaystyle 3(x - x^3)^2(1 - 3x^2) \)	\(\displaystyle 3(x - x^3)^2 \)	\(\displaystyle 3 \left ( \frac{x^2}{2} - \frac{x^4}{4} \right ) ^2 \)	2	q4561	87
10,142		Use the chain rule to differentiate the function \(\displaystyle (x^5 - x^{10})^{20} \)	multi	\(\displaystyle 20(5x^4 + 10x^9)^{19} \)	\(\displaystyle 20(x^5 - x^{10})^{19} \)	\(\displaystyle 20(5x^4 - 10x^9)^{19} \)	\(\displaystyle 20(x^5 - x^{10})^{19} (5x^4 - 10x^9) \)	4	q4562	88
10,142		Use the chain rule to differentiate the function \(\displaystyle \left ( \frac{1}{x} + \frac{1}{x^2} \right ) ^4 \)	multi	\(\displaystyle 4 \left ( \frac{1}{x} + \frac{1}{x^2} \right ) ^3 \)	\(\displaystyle \frac{1}{5} \left ( \frac{1}{x} + \frac{1}{x^2} \right ) ^5 \)	\(\displaystyle 4 \left ( \frac{1}{x} - \frac{1}{x^2} \right)^3 \left ( \frac{1}{x^2} + \frac{2}{x^3} \right ) \)	\(\displaystyle -4\left ( \frac{1}{x} + \frac{1}{x^2} \right )^3 \left ( \frac{1}{x^2} + \frac{2}{x^3} \right ) \)	4	q4569	89
10,30		Use the chain rule to differentiate the function \(\displaystyle f(\sin 3x) \)	multi	\(\displaystyle 3 \cos 3x f'(\sin 3x) \)	\(\displaystyle 3 \sin 3x f'(x) \)	\(\displaystyle 3\cos 3x f'(x) \)	\(\displaystyle f'(3 \cos 3x) \)	1	q4570	90
10,142		Use the chain rule to differentiate the function \(\displaystyle [(x^3 - x^{-3})^2 - x^2]^3 \)	multi	\(\displaystyle 3[2(3x^2 + 3x^{-4}) - 2x]^2 \)	\(\displaystyle 3[(x^3 - x^{-3})^2 - x^2]^2 [2(x^3 - x^{-3})(3x^2+ 3x^{-4}) - 2x] \)	\(\displaystyle 3[(x^3 - x^{-3})^2 - x^2] \)	\(\displaystyle 3[(x^3 - x^{-3})^2 - x^2]^2[2(x^3 - x^{-3}) - 2x] \)	2	q4571	91
10,142		Use the chain rule to differentiate the function \(\displaystyle (x^2 - 1)^{100} \)	multi	\(\displaystyle 200x(x^2 - 1)^{99} \)	\(\displaystyle 100x(x^2 - 1)^{99} \)	\(\displaystyle \frac{(x^2 - 1)^{101}}{101} \)	\(\displaystyle 100x^2(x^2 - 1)^{99} \)	1	q4572	92
10,142		Use the chain rule to differentiate the function \(\displaystyle \left ( x + \frac{1}{x} \right ) ^{-3} \)	multi	\(\displaystyle -3 \left ( x + \frac{1}{x} \right ) ^{-4} \left ( 1 + \frac{1}{x^2} \right ) \)	\(\displaystyle -3 \left ( x - \frac{1}{x} \right )^{-4} \left ( 1 + \frac{1}{x^2} \right ) \)	\(\displaystyle -3 \left ( x + \frac{1}{x} \right ) ^{-4} \left (1 - \frac{1}{x^2} \right ) \)	\(\displaystyle 3 \left ( x + \frac{1}{x} \right )^{-4} \left ( 1 - \frac{1}{x^2} \right ) \)	3	q4573	93
10,142		Use the chain rule to differentiate the function \(\displaystyle [1 - (2 + 3x)^2]^3 \)	multi	\(\displaystyle 18(2 - 3x) [1 - (2 + 3x)^2]^2 \)	\(\displaystyle 3[1 - (2 + 3x)^2]^2 \)	\(\displaystyle -18(2 + 3x)[1 - (2+3x)^2]^2 \)	\(\displaystyle 3[1 - 2(2 + 3x)]^2 \)	3	q4574	94
10,32		Use the chain rule to differentiate the function \(\displaystyle \tan x^2 \)	multi	\(\displaystyle 2 \tan x \)	\(\displaystyle 2x \sec^2 x^2 \)	\(\displaystyle \sec^2 x^2 \)	\(\displaystyle \tan 2x \)	2	q4577	95
10,35		Use the chain rule to differentiate the function \(\displaystyle (x + \cot \pi x)^4 \)	multi	\(\displaystyle 4\pi (x + \cot \pi x)^3 \)	\(\displaystyle 4 (x + \cot \pi x)^3 \)	\(\displaystyle 4(1 + \pi \csc^2 \pi x)^3 \)	\(\displaystyle 4(1 - \pi \csc^2 \pi x)(x + \cot \pi x)^3 \)	4	q4578	96
136,16,142		Evaluate the integral \(\displaystyle \int 2x (x^2 - 1)^4 \, dx. \)	multi	\(\displaystyle \frac{1}{5} x^2(x^2 - 1)^5 + C \)	\(\displaystyle 8x (x^2 - 1)^3 + C \)	\(\displaystyle \frac{1}{5} (x^2 - 1)^5 + C \)	\(\displaystyle \frac{2}{5} x^2(x^2 - 1)^5 + C \)	3	q4579	97
136,16,142		Evaluate the integral \(\displaystyle \int \frac{1}{(3+5x)^2}\,dx. \)	multi	\(\displaystyle \frac{-1}{5(3+5x)} + C \)	\(\displaystyle \frac{-1}{3 + 5x} + C \)	\(\displaystyle \ln | 3 + 5x|^2 + C \)	\(\displaystyle \frac{-2}{(3+5x)^3} + C \)	1	q4580	98
136,16,142	component for definite integrals?	Evaluate the integral \(\displaystyle \int_0^2 (x^2 - 1)(x^3 - 3x + 2)^3 \, dx \)	multi	\(\displaystyle 80 \)	\(\displaystyle 40 \)	\(\displaystyle 20 \)	\(\displaystyle 5 \)	3	q4581	99
136,16,10,31		Evaluate the integral \(\displaystyle \int_0^{1/2} \cos^3(\pi x) \sin (\pi x) \, dx \)	multi	\(\displaystyle 2\pi \)	\(\displaystyle \frac{1}{4\pi} \)	\(\displaystyle \frac{1}{2\pi} \)	\(\displaystyle 0 \)	2	q4582	100
136,16,142		Evaluate the integral \(\displaystyle \int_0^a y(a^2 - y^2)^{1/2}\,dy \)	multi	\(\displaystyle \frac{|a|^3}{6} \)	\(\displaystyle \frac{|a|^3}{12} \)	\(\displaystyle 0 \)	\(\displaystyle \frac{|a|^3}{3} \)	4	q4583	101
33,10,53	not sure if this is intended for substitution...	Evaluate the integral \(\displaystyle \int_{1/4}^{1/3} \sec^2 \pi x \, dx \)	multi	\(\displaystyle \frac{\pi}{2} \)	\(\displaystyle \frac{3^{1/2} - 2^{1/2}}{\pi} \)	\(\displaystyle \frac{3^{1/2} - 1}{\pi} \)	\(\displaystyle \frac{1 - 3^{1/2}}{\pi} \)	3	q4584	102
136,16,142		Evaluate the integral \(\displaystyle \int_0^1 5x (1 + x^2)^4 \, dx \)	multi	\(\displaystyle 31/2 \)	\(\displaystyle 125/2 \)	\(\displaystyle 80 \)	\(\displaystyle 23/4 \)	1	q4585	103
136,16,142		Evaluate the integral \(\displaystyle \int t^2 (5t^3 + 9)^4\,dt \)	multi	\(\displaystyle \frac{1}{75} t^3 (5t^3 + 9)^5 + C \)	\(\displaystyle \frac{1}{96} t^3 (5t^3 + 9)^5 + C \)	\(\displaystyle \frac{1}{15} t^3 (5t^3 + 9)^5 + C \)	\(\displaystyle \frac{1}{75} (5t^3 + 9)^5 + C \)	4	q4586	104
136,16,142	vaguely not straightforward	Evaluate the integral \(\displaystyle \int \frac{x+13}{(x+1)^{1/2}}\,dx \)	multi	\(\displaystyle \frac{2}{3} (x+1)^{3/2} + 2x \)	\(\displaystyle (x+1)^{1/2} \left ( \frac{2}{3} x + 5 \right ) \)	\(\displaystyle \frac{1}{4} (x+3)(1 - x) \)	\(\displaystyle \frac{2}{3} (x+1)^{1/2} (x+37) \)	4	q4587	105
136,16,142		Evaluate the integral \(\displaystyle \int_{-1}^1 \frac{r}{(1+r^2)^4}\,dr \)	multi	\(\displaystyle 1/2 \)	\(\displaystyle 1/4 \)	\(\displaystyle 0 \)	\(\displaystyle 1/8 \)	3	q4588	106
137,78,79,38		\(\displaystyle \text{Evaluate } \int x e^{-2x}\,dx. \)	multi	\(\displaystyle \left ( \frac{x}{2} - \frac{1}{4} \right ) e^{-2x} + C \)	\(\displaystyle \left ( \frac{x}{2} + \frac{1}{4} \right ) e^{-2x} + C \)	\(\displaystyle \left ( \frac{1}{4} - \frac{x}{2} \right ) e^{-2x} + C \)	\(\displaystyle -\left ( \frac{x}{2} + \frac{1}{4} \right ) e^{-2x} + C \)	4	q4606	107
137,78,79,36	requires knowing or evaluating the integral of ln(x)	\(\displaystyle \text{Evaluate } \int \ln^2 x \, dx. \)	multi	\(x\ln^2x-2x\ln x+2x+C\)	\(\displaystyle x^2 \ln x + 2x \ln x - 2x + C \)	\(\displaystyle 2x \ln x + 2x + C \)	\(\displaystyle e^{(x^2 + 2x)} + C \)	1	q4607	108
137,78,79,139,30,31,38,10	139+some more strategizing/playing around	\(\displaystyle \text{Evaluate } \int e^{-x} \cos 2x \, dx. \)	multi	\(\displaystyle -2e^{-x} \cos 2x \sin 2x + C \)	\(\displaystyle 2e^{-x} \cos 2x + C \)	\(\displaystyle \frac{e^{-x}}{5} (2\sin 2x - \cos 2x) + C \)	\(\displaystyle \ln^2 (\sin 2x) + \cos 2x + C \)	3	q4608	109
137,78,79,36,143	special components such as "usually choose lnx as u"?	\(\displaystyle \text{Evaluate the definite integral } \int_1^2 x^3 \ln x \, dx. \)	multi	\(\displaystyle 2\ln4 - 1/16 \)	\(\displaystyle 8 + \ln 2 \)	\(\displaystyle 8 \ln 2 + 13/8 \)	\(\displaystyle 4 \ln 2 - 15/16 \)	4	q4609	110
137,78,79,139,30,31,142,10		\(\displaystyle \text{Evaluate the definite integral } \int_0^{\pi/2} x^2 \sin 2x\,dx. \)	multi	\(\displaystyle \pi^2/8 - 1/2 \)	\(\displaystyle \pi^2/4 - 1/2 \)	\(\displaystyle \pi^2/4 \)	\(\displaystyle 0 \)	1	q4610	111
137,78,79,38,142		\(\displaystyle \text{Evaluate } \int x e^{-x}\,dx. \)	multi	\(\displaystyle -xe^{-x} -e^{-x} + C \)	\(\displaystyle \frac{-x^2}{2} e^{-x} + C \)	\(\displaystyle \ln x + C \)	\(\displaystyle -e^{-x} + \ln x^2 + C \)	1	q4612	112
137,78,79,16		\(\displaystyle \text{Evaluate } \int x(x+5)^{14} \,dx. \)	multi	\(\displaystyle \frac{1}{240} x(x+5)^{15} - \frac{1}{15}(x+5)^{16} + C \)	\(\displaystyle \frac{1}{15} x(x+5)^{15} - \frac{1}{240}(x+5)^{14} + C \)	\(\displaystyle \frac{1}{15}x(x+5)^{15} - \frac{1}{240}(x+5)^{16} + C \)	\(\displaystyle \frac{x^2(x+5)^{15}}{17} + C \)	3	q4613	113
137,78,79,142,36,10,143		\(\displaystyle \text{Evaluate the definite integral } \int_1^{e^2} x\ln (x^{1/2}) \, dx. \)	multi	\(\displaystyle 1/8 - 3e^4 / 8 \)	\(\displaystyle e \)	\(\displaystyle e^2 \ln x \)	\(\displaystyle 3e^4/8 + 1/8 \)	4	q4614	114
137,78,79,31,10,142		\(\displaystyle \text{Evaluate the definite integral } \int_0^{1/2} x \cos \pi x\, dx.\)	multi	\(\displaystyle 0 \)	\(\displaystyle 1/4\pi - 2/\pi^2 \)	\(\displaystyle 2\pi - 4\pi^2 \)	\(\displaystyle 1/2\pi - 1/\pi^2 \)	4	q4615	115
